analysis,x_label,x_val,MAE,time_s
n_coll,N_coll,200,3.165263325648439,65.2960524559021
n_coll,N_coll,500,3.2293959343877545,67.23049354553223
n_coll,N_coll,1000,3.183235776327847,79.6137433052063
n_coll,N_coll,2000,3.2385975022957787,87.46225047111511
n_coll,N_coll,3500,3.060624132092447,130.09512758255005
n_coll,N_coll,5000,2.9211846444470475,172.79237008094788
n_coll,N_coll,8000,2.9263638127606737,298.83789467811584
epochs,epochs,500,47.673532815253466,
epochs,epochs,1000,32.94761613354403,
epochs,epochs,2000,13.758533629562837,
epochs,epochs,3000,3.0095374939224473,
epochs,epochs,5000,0.5554965587777603,
epochs,epochs,7000,0.7572608342773048,
epochs,epochs,10000,0.06886058660865194,
arch,20x20,501,28.537868040810874,
arch,20x20x20,921,28.671767982794087,
arch,50x50,2751,3.4562835743565237,
arch,50x50x50,5301,3.2139522058642,
arch,50x50x50x50,7851,3.3830129378606353,
arch,100x100x100,20601,0.20222085615008983,
arch,100x100x100x100,30701,0.6356823366172109,
