sector,log_market_cap,market_cap_quintile,book_to_market,momentum,volatility,analyst_coverage,institutional_ownership,analyst_revision,earnings_surprise,stock_return,true_cate
Utilities,23.457075619631645,Q4,0.46247138791443293,0.14330112757383745,0.3270140072446083,5,0.2211280594200936,0.5168978275345194,0.27100443984467404,-0.0650831586332841,0.007268679008589368
Materials,21.440023840639256,Q1_Small,0.40676216453311026,0.30380460055654507,0.29359884453039264,5,0.4693400936085007,0.5219514113762573,0.9752891687040273,0.034244392579248155,0.020991923709954383
Financials,24.125676793709687,Q4,0.786947213457944,0.14833031413421854,0.40368523512890764,10,0.4487465415925457,0.9493382292508863,0.25787219907194464,-0.03531083035766798,0.013947563542645126
Energy,24.41084707458682,Q5_Large,0.705472596701373,0.6397079166036059,0.3728079812894072,9,0.31347858138674956,-0.26794193475079375,0.6966832211605921,0.050448404515302976,0.010049628191156908
Energy,20.073447217019247,Q1_Small,0.26109396205681973,0.43744686311760456,0.05829870409319082,3,0.32065513643991916,1.1886220992331609,0.3634145906819457,0.02640586749425836,0.022194347792346112
Energy,21.046730739706522,Q1_Small,1.1895879096503874,0.003118058820746103,0.3654290645314148,5,0.4183464062788692,1.1850800137456252,-0.09790982359860045,0.05069859664528438,0.019469153928821738
Industrials,23.19176060475093,Q3,0.5732021998412813,0.000493141548232684,0.17958247085950996,7,0.36940931337077776,0.6792226654517287,0.058216909991487265,-0.03412259392048089,0.019232957580996284
Financials,22.525636111484626,Q2,0.3114368602491957,0.1974241798713383,0.12939255102615613,3,0.5061881408965015,-0.024430567688310995,0.4009832341205332,0.028773262650915402,0.019707709998655343
Healthcare,22.974798263743565,Q3,1.2377193702165816,-0.12950479510642127,0.27738319075517237,7,0.6512810494666519,0.013767399896540453,0.6482438639492484,0.021981822875554773,0.028141129723036035
Technology,21.72043410863963,Q2,0.882854688997446,0.3715720766331217,0.3493165330836014,6,0.32179650858165426,-0.4406102787811642,1.0750782283864586,0.1487262613307692,0.0439569612395226
Technology,24.319096962294243,Q5_Large,0.28401586060808875,0.17040013046089592,0.10311184676558108,11,0.32812896494179833,0.14239203858183394,0.20113451562095547,0.036713921459931964,0.025766321263940302
Communication Services,24.166687903143423,Q5_Large,1.7617536484640706,0.14411472771463318,0.38454917004690614,8,0.28439283286079603,-1.4872670057468214,0.19710091363623866,0.038430873672445014,0.016866573226168937
Technology,23.099046046341822,Q3,0.900575226756955,0.2517384169427041,0.391600661703792,7,0.14062345861730763,1.2943676549872363,1.2977801025205493,0.11152315850941161,0.034306677675607244
Communication Services,24.69086181045205,Q5_Large,0.6028314325323386,0.5107074708422648,0.30563714355593974,5,0.5186317413540054,1.3822767695619214,-0.11392234729398854,0.00792098724709225,0.014560208034010983
Communication Services,23.70126401337807,Q4,1.5748047295813,0.1227388380468763,0.19588516437275416,8,0.3386758992612332,-1.1765488636609371,-0.27011423453872546,-0.002991593496572135,0.018914438341136496
Financials,21.71106130567514,Q2,0.6673628822214711,0.05173990728215391,0.18247463949728496,3,0.42175680086050943,0.46455057448701453,1.993539977077726,0.0514983966020126,0.02264017929956949
Industrials,23.553126176123747,Q4,0.5963963327650507,0.4571799058306446,0.4231118557896273,7,0.4787077406113569,0.19588953008533405,0.6794131519436561,0.02840885828916688,0.017787495295505013
Consumer Discretionary,21.5616760987565,Q1_Small,0.40812569762426876,0.3218876039977838,0.11865327762049141,4,0.22313649898202786,-0.3825241709016781,0.4778789592977123,-0.04993259106563493,0.0321916195062175
Consumer Discretionary,24.31767545196091,Q5_Large,0.8599425137755975,-0.00024496009593057144,0.4277364552983014,8,0.2932720895646992,0.6577593052242569,0.6814452242988679,0.005584533599344424,0.018411622740195456
Consumer Discretionary,22.92511113352062,Q3,0.8073175290754692,0.08129661216475502,0.2801761009043476,7,0.5329709116154557,-1.3929482023326185,-1.0171721810235492,-0.013487149843649956,0.0253744443323969
Consumer Discretionary,22.722706454682108,Q3,0.6118966299378866,0.12884522898469963,0.28849986004285716,5,0.347447614114282,-0.03868900901687476,-0.2675050390828417,-0.0055146720752592485,0.026386467726589466
Utilities,21.978605683394086,Q2,0.37757282600838604,0.17045323615124572,0.09502947535040099,4,0.2735433599560113,-0.10660327465224013,-0.4407936586257287,-0.03800731505376333,0.009634230906569462
Industrials,24.833812008011044,Q5_Large,0.6557064417675872,-0.25914996273477847,0.2823940043845696,10,0.29215891066979927,0.37929158070820046,0.22222763761201986,-0.017193195403287505,0.012664751967955823
Healthcare,22.768205776896796,Q3,0.5816541386069118,-0.30562115195039,0.3736302619213651,5,0.3412185374978247,-1.2014745937085403,-0.4902091946884358,-0.06399739263015031,0.029298047649377944
Consumer Discretionary,22.35750826675534,Q2,0.2725087402066059,-0.14184750550061342,0.13963078945776225,8,0.4979396074329345,0.20066492375148112,0.2115483311882382,0.06236667505374684,0.02821245866622331
Consumer Staples,22.471799674267654,Q2,0.250803024522995,-0.16118461075283558,0.35983630407022144,4,0.4179797916616657,0.7099750095526327,0.0425556016803193,-0.007323086847036889,0.011056400651464694
Consumer Staples,23.798463778330024,Q4,0.8513704168108467,-0.08095600349312564,0.3106814704414827,9,0.3941455101976799,0.46936672623666265,-0.8309364853048316,-0.07285191615169873,0.008403072443339953
Technology,23.54816609654612,Q4,0.1273096477181308,0.23867766052250106,0.22274932634012318,14,0.5298154162900273,-0.02598157752889574,0.6030028888148845,0.01415906482659606,0.03116283732417717
Energy,23.619098917393984,Q4,0.6860850469304592,0.037767710918815416,0.4025607703789565,9,0.5119594948449303,2.2826058079980402,-0.4385422936647919,0.019856408107752896,0.012266523031296845
Consumer Staples,23.646231504511825,Q4,0.45527673567002547,0.12909865125254708,0.035729187722573275,10,0.4063368511624889,-0.5845937973206744,-0.5177986989127554,0.0022569146208106716,0.008707536990976351
